Datetime,R1,R2,R3,R4,R5,R6
10/06/2021 13:00,1.172502401,0.729856744,1.026065735,1.312099233,1.284628332,1.041087678
10/06/2021 14:00,1.23911152,0.837587745,1.04251622,1.184374148,1.365620071,1.07984667
10/06/2021 15:00,1.26493773,0.855095995,1.219528521,1.209267538,1.36760745,0.996435061
10/06/2021 16:00,1.28155557,0.758179055,1.099047002,1.225116149,1.385461435,1.12276866
10/06/2021 17:00,1.209571356,0.817605677,1.038723882,1.195573724,1.307595461,1.059671416
10/06/2021 18:00,1.158828933,0.783400213,1.14595938,1.107672233,1.252782866,1.015243576
10/06/2021 19:00,1.120047604,0.759197916,0.960473892,1.070528456,1.210742039,0.982718993
10/06/2021 20:00,1.264246775,0.808770008,1.032261093,1.143837661,1.291843768,1.042983666
10/06/2021 21:00,1.395,0.861487372,1.316060251,1.2182066,1.320180874,1.111354033
10/06/2021 22:00,1.299254812,0.785182716,1.112390498,1.395,1.354708415,1.094307289
10/06/2021 23:00,1.317579948,0.890195563,1.138997431,1.459419649,1.395,1.153963383
11/06/2021 00:00,1.223846436,0.811903683,1.123280966,1.169686301,1.33983984,1.072119672
11/06/2021 01:00,1.130059697,0.8737075,1.016108484,1.24630779,1.305854925,1.037977912
11/06/2021 02:00,1.11208976,0.751395759,0.95307924,1.024212566,1.203181051,0.973898177
11/06/2021 03:00,0.853301058,0.685175118,0.868142212,0.965476253,1.095839167,0.888088752
11/06/2021 04:00,0.934040541,0.641100604,0.807108907,0.900116856,1.018011609,0.811423786
11/06/2021 05:00,0.902864091,0.606757956,0.777242361,0.850450973,0.886831083,0.767789587
11/06/2021 06:00,0.906287528,0.613058468,0.777267827,0.866277991,0.979668672,0.752248547
11/06/2021 07:00,0.962904569,0.654075675,0.756241974,0.891743556,1.046426216,0.847758124
11/06/2021 08:00,0.895698886,0.605419534,0.768297275,0.856342536,0.965598246,0.788491074
11/06/2021 09:00,0.868521969,0.587072167,0.954878638,0.880114933,0.938921562,0.760963197
11/06/2021 10:00,0.861842219,0.577144444,0.774146178,0.865205497,0.975909681,0.790894625
11/06/2021 11:00,1.08389896,0.671393841,0.853475054,0.963233113,1.072871932,0.981609483
11/06/2021 12:00,1.132644338,0.730037879,0.927486852,1.032033711,1.169562505,0.940554311
11/06/2021 13:00,1.188319187,0.802470105,1.01888275,1.135861738,1.28416797,1.041254838
11/06/2021 14:00,1.230110937,0.837534411,1.062135795,1.184372585,1.339590513,1.087795014
11/06/2021 15:00,1.258378635,0.862299577,1.084945349,1.17448543,1.370040603,1.10823972
11/06/2021 16:00,1.293668358,1.045155169,1.053672639,1.225013109,1.385422708,1.122866847
11/06/2021 17:00,1.20996975,0.817596557,1.156712423,1.156162051,1.316465045,1.060084382
11/06/2021 18:00,1.107865107,0.783279215,0.992552415,1.144547499,1.2577782,1.082923394
11/06/2021 19:00,1.120321737,0.756056249,0.960648386,1.08616487,1.210975681,0.981388515
11/06/2021 20:00,1.196566061,0.808787525,1.016946936,1.143728413,1.293503009,1.203571051
11/06/2021 21:00,1.395,0.851823482,1.092934825,1.236412471,1.377763751,1.117912165
11/06/2021 22:00,1.349683525,0.907991622,1.114205598,1.239245404,1.404468882,1.145233039
11/06/2021 23:00,1.316950379,0.894103431,1.129763352,1.258801132,1.395,1.15381089
12/06/2021 00:00,1.223784386,0.827661451,1.04976452,1.170007122,1.322893505,1.056555498
12/06/2021 01:00,1.184794786,0.80085141,0.964920478,1.132553015,1.289314461,1.050179809
12/06/2021 02:00,1.111770602,0.750783464,0.953409458,1.062682455,1.201848651,0.974008478
12/06/2021 03:00,1.014149305,0.864234289,0.869611272,0.870113392,1.09605372,0.888268058
12/06/2021 04:00,0.942,0.636740983,0.793863049,0.900408007,1.016123866,0.825292577
12/06/2021 05:00,0.90888649,0.612895679,0.777581965,0.86669709,0.980236041,0.79228954
12/06/2021 06:00,0.958485219,0.613016984,0.77772363,0.706465859,1.019465227,0.794511575
12/06/2021 07:00,0.969747001,0.653444757,0.830378367,0.926261986,0.933223943,0.836485473
12/06/2021 08:00,0.89669582,0.606087114,0.769022055,0.930482488,0.968989923,0.785556659
12/06/2021 09:00,0.869793181,0.751066876,0.742301463,0.825535019,0.940249921,0.761988668
12/06/2021 10:00,0.928359195,0.613973003,0.810501139,0.867929055,0.982426998,0.641438957
12/06/2021 11:00,0.998133969,0.674685143,0.856078655,0.954025979,1.07901703,0.763631096
12/06/2021 12:00,1.091659652,0.733604576,0.931236087,1.037993176,1.174169907,0.951363819
12/06/2021 13:00,1.194865276,0.668935546,1.027676671,1.141442288,1.51625,1.046822676
12/06/2021 14:00,1.246024695,0.844486746,1.068929104,1.19080047,1.347012268,1.091632932
12/06/2021 15:00,1.272370249,0.880847008,1.057806327,1.216258385,1.375541118,1.114763495
12/06/2021 16:00,1.225289438,0.871522949,1.112522452,1.160505045,1.281764424,1.129741499
12/06/2021 17:00,1.217776987,0.807293271,1.044368583,1.164030091,1.316999251,1.066875772
12/06/2021 18:00,1.16706864,0.76351334,0.998250009,1.115802548,1.261786984,1.061597433
12/06/2021 19:00,1.128867741,0.762996691,0.967971459,1.067454962,1.222240575,0.988898932
12/06/2021 20:00,1.203813745,0.924855537,1.033870143,1.153638949,1.303278899,1.056162953
12/06/2021 21:00,1.283573134,0.867888636,1.100763135,1.156249063,1.387602077,1.124529352
12/06/2021 22:00,1.308358844,0.880788095,1.105701837,1.25059753,1.414905418,1.107383796
12/06/2021 23:00,1.326043007,0.922972042,1.137176102,1.267513846,1.433516749,1.161646126
13/06/2021 00:00,1.331380056,0.833357256,1.058527808,1.372870202,1.384754907,1.096132101
13/06/2021 01:00,1.193884154,0.729692272,1.002425655,1.141171883,1.290724748,1.045953546
13/06/2021 02:00,1.120687654,0.757502875,0.965334559,1.071078134,1.209134402,0.981728768
13/06/2021 03:00,1.021783465,0.688561292,0.883786877,0.858536298,1.105479739,0.895898771
13/06/2021 04:00,0.906583646,0.642257253,0.775532325,0.908300365,0.877172481,1.032572447
13/06/2021 05:00,0.913481738,0.615609337,0.782386396,0.915741908,0.951912005,0.885643151
13/06/2021 06:00,0.912119189,0.558445277,0.782252597,0.871777304,0.971902594,0.799043899
13/06/2021 07:00,0.973221301,0.657943072,0.836328106,0.930159335,1.052006659,0.85249702
13/06/2021 08:00,0.900819496,0.609000567,0.758967678,0.856599688,0.973868368,0.789237921
13/06/2021 09:00,0.873448624,0.590366866,0.746731513,0.835070833,0.947476482,0.773338246
13/06/2021 10:00,1.087133454,0.613321125,0.778449563,0.867337746,0.985636007,0.800121806
13/06/2021 11:00,0.996144881,0.674255588,0.854837989,0.952753607,0.947969193,0.872344476
13/06/2021 12:00,1.080362031,0.696660523,0.926472258,1.032667257,1.167804644,0.946405369
13/06/2021 13:00,1.188714229,0.803496661,1.273835791,1.136888199,1.284846673,1.041391725
13/06/2021 14:00,1.239247302,0.798141629,1.062933058,1.152246959,1.339738606,1.08570452
13/06/2021 15:00,1.26513637,0.85514897,1.084937576,1.209282274,1.442349741,1.108124948
13/06/2021 16:00,1.281586941,0.941236322,1.147766763,1.22503967,1.385470772,1.122732128
13/06/2021 17:00,1.117437448,0.817606528,0.998574801,1.194219725,1.344329503,1.059712992
13/06/2021 18:00,1.157469429,0.81965744,0.983711307,1.107458289,1.261799566,1.020094774
13/06/2021 19:00,1.120307859,0.755034794,1.193401595,1.069866393,1.022962845,1.095217161
13/06/2021 20:00,1.196587281,0.808938868,1.125153267,1.14374865,1.283630489,1.048329955
13/06/2021 21:00,1.508746694,0.850458008,1.0929075,1.218194487,1.377752164,1.116567557
13/06/2021 22:00,1.29924292,0.87822944,1.125852239,1.241920347,1.402814083,1.269157233
13/06/2021 23:00,1.38473773,0.889400491,1.038246648,1.258771337,1.423668979,1.153789058
14/06/2021 00:00,1.223871952,0.82698081,1.048965438,1.167439538,1.322875287,1.072074527
14/06/2021 01:00,1.184944178,0.800746905,1.015227999,1.132023102,1.251249208,1.038079567
14/06/2021 02:00,1.111613548,0.751351222,0.828184576,0.953783332,1.206913899,0.973839645
14/06/2021 03:00,1.013635949,0.685172321,0.869278733,0.968891618,1.218141615,0.888036552
14/06/2021 04:00,0.941906697,0.63650263,0.805537609,0.900122726,1.01846227,0.824910757
14/06/2021 05:00,0.906246493,0.613069634,0.777156615,0.866217847,1.008093141,0.793961913
14/06/2021 06:00,0.905592461,0.612572037,0.777181655,0.860802974,1.006364483,0.805046285
14/06/2021 07:00,0.967566263,0.70490384,0.829763149,0.924913859,1.130988849,1.027481619
14/06/2021 08:00,0.895674071,0.592749193,0.768065076,0.856086979,1.048622222,0.642677968
14/06/2021 09:00,0.869130294,0.474519338,0.751604989,0.858040096,0.933935793,0.760922554
14/06/2021 10:00,0.934651934,0.610747702,0.774157425,0.862985282,0.976010968,0.790877188
14/06/2021 11:00,0.992776066,0.670821042,0.851090393,0.948614627,1.072869372,0.869440863
14/06/2021 12:00,1.079760668,0.729907667,0.925999305,1.032168452,1.041589471,1.003424013
14/06/2021 13:00,1.189295752,0.803261304,0.872209045,1.135923457,1.284551385,1.041161427
14/06/2021 14:00,1.241026763,0.83755391,1.295404841,1.252626968,1.407216594,1.085032705
14/06/2021 15:00,1.265829495,0.855147551,1.085056294,1.209234045,1.367624759,1.056443218
14/06/2021 16:00,1.281624783,0.866296434,1.194144659,1.224816977,1.395,1.139638139
14/06/2021 17:00,1.209636377,0.92765044,0.894187528,1.155814288,1.307319177,1.059818787
14/06/2021 18:00,1.158978268,0.786710099,0.993874272,1.153088845,1.252871307,1.038253608
14/06/2021 19:00,1.119948332,0.917203706,0.976576276,1.072457741,1.207973176,0.9847782
14/06/2021 20:00,1.196689422,0.890000786,1.012680007,1.143555058,1.297410934,1.047863176
14/06/2021 21:00,1.274534171,0.86130819,1.148793584,1.214633178,1.353789248,1.116633162
14/06/2021 22:00,1.299210433,0.87823075,1.11451567,1.202590506,1.404457038,1.139242775
14/06/2021 23:00,1.317010302,0.797918121,1.129568642,1.260160255,1.410635687,1.154024111
15/06/2021 00:00,1.223609402,0.823210496,1.049379168,1.169522678,1.32306959,1.072121964
15/06/2021 01:00,1.178394485,0.800786772,1.031980558,1.132079052,1.28072932,1.038191045
15/06/2021 02:00,1.111559646,0.751336601,0.953256258,1.026805203,1.214144996,0.936893216
15/06/2021 03:00,1.045413056,0.685152702,0.820107904,0.968891003,1.095821704,0.888766494
15/06/2021 04:00,0.941717158,0.636504438,0.808108083,0.900114317,0.957110872,0.823876412
15/06/2021 05:00,0.906259539,0.612580067,0.834253384,0.866276394,0.979729587,0.793010455
15/06/2021 06:00,0.810538865,0.612589674,0.779491705,0.865958933,0.813763957,0.794118082
15/06/2021 07:00,0.967645314,0.654275907,0.829836517,0.924914204,1.055859727,0.847623296
15/06/2021 08:00,0.89563521,0.555090858,0.877416849,0.845323414,0.968223142,0.784494754
15/06/2021 09:00,0.868490283,0.580722105,0.908598198,0.830175003,0.778695536,0.76090868
15/06/2021 10:00,0.902041331,0.610213863,0.776943421,0.862877313,0.975944449,0.791165028
15/06/2021 11:00,0.992423519,0.670826089,0.850962508,0.948600992,1.21758188,0.868762784
15/06/2021 12:00,1.242802628,0.723447413,0.925966815,1.032065868,1.167176526,0.997567853
15/06/2021 13:00,1.188356548,0.803067445,1.019068322,1.204061871,1.285665583,1.041059272
15/06/2021 14:00,1.238987184,0.837494341,1.062554367,1.184289942,1.41645863,1.091314414
15/06/2021 15:00,1.253820029,0.794380515,0.9189829,1.209254189,1.371818707,1.108360201
15/06/2021 16:00,1.281028217,0.866181089,1.099005759,1.224762755,1.283020449,1.122709756
15/06/2021 17:00,1.196706742,0.817641071,1.027488733,1.156220802,1.307631085,1.059752227
15/06/2021 18:00,1.158868391,0.73138686,0.993929127,1.107623805,1.261952505,1.015292686
15/06/2021 19:00,1.127644292,0.757018335,0.960440149,1.070508203,1.210712044,0.981172712
15/06/2021 20:00,1.205627,0.957584702,1.026776601,1.143851745,1.293675748,1.199001832
15/06/2021 21:00,1.274722814,0.836922792,1.09352124,1.28350219,1.378057789,1.113036931
15/06/2021 22:00,1.29979613,0.83610597,1.011793999,1.242451291,1.405148075,1.138638613
15/06/2021 23:00,1.317032621,0.746458943,1.129464768,1.199939272,1.395,1.153882912
16/06/2021 00:00,1.223594645,0.827086682,1.049342489,1.169574231,1.322778259,1.071994758
16/06/2021 01:00,1.184549721,0.80118663,1.188127282,1.011818,1.362914641,1.111507413
16/06/2021 02:00,1.126416784,0.751255849,0.958307962,1.062359182,1.201531375,0.99054013
16/06/2021 03:00,1.013622647,0.6851339,0.869800955,0.968750518,1.100798395,0.857059096
16/06/2021 04:00,0.959405117,0.746247433,0.807679669,0.900069416,0.933556512,0.824995055
16/06/2021 05:00,0.906365993,0.612762673,0.777527611,0.866482079,0.994543946,0.869871953
16/06/2021 06:00,0.906314705,0.612455874,0.974270517,0.787063117,0.9795688,0.79398601
16/06/2021 07:00,1.040060028,0.654249495,0.829200332,0.925456559,1.042635,0.77111194
16/06/2021 08:00,0.896048064,0.609840644,0.768365533,0.855949636,0.96859761,0.784942958
16/06/2021 09:00,0.868901878,0.587304686,0.761130896,0.830506698,0.91441156,0.701328679
16/06/2021 10:00,0.906978291,0.610426526,0.936897031,0.863388231,0.976298222,0.791108639
16/06/2021 11:00,0.992665374,0.671068693,0.887174016,0.967166002,0.982777092,0.869403886
16/06/2021 12:00,1.080251317,0.670803882,0.92639854,1.032335834,1.174901031,0.959771063
16/06/2021 13:00,1.187027021,1.013408433,1.019376986,1.22585116,1.285036445,1.041412731
16/06/2021 14:00,1.239353487,0.837992963,1.0627099,1.184599985,1.339784704,1.08521297
16/06/2021 15:00,1.395,0.769994189,1.080917829,1.210079231,1.368563122,1.187068269
16/06/2021 16:00,1.281694718,0.789158436,1.329246238,1.211645567,1.385720688,1.123067228
16/06/2021 17:00,1.211114665,0.801782551,1.025040392,1.214665837,1.308437746,1.060365617
16/06/2021 18:00,1.159524396,0.783813515,0.994350255,1.092953493,1.253492849,1.032599995
